FAMILIARITY_human,DIFFICULTY_human,MEANINGFULNESS_human,BODY_RELATEDNESS_human,PHISICALITY_human,IMAGEABILITY_human
4.866666667,,5.4,,,
4.4,,6.533333333,,,
2.933333333,,5.1,,,
4.0,,5.7,,,
3.6,,5.1,,,
4.2,,4.933333333,,,
3.933333333,,4.633333333,,,
4.666666667,,6.166666667,,,
4.933333333,,5.2,,,
4.133333333,,5.9,,,
5.066666667,,5.466666667,,,
5.6,,5.379310345,,,
3.133333333,,4.206896552,,,
5.4,,4.827586207,,,
4.733333333,,4.413793103,,,
4.6,,5.379310345,,,
6.4,,5.24137931,,,
5.6,,5.344827586,,,
5.8,,5.931034483,,,
5.2,,5.172413793,,,
5.033333333,,6.068965517,,,
4.766666667,,6.24137931,,,
4.233333333,,4.344827586,,,
5.666666667,,6.103448276,,,
5.833333333,,5.896551724,,,
6.566666667,,5.310344828,,,
5.3,,6.433333333,,,
3.5,,5.966666667,,,
5.733333333,,5.866666667,,,
4.566666667,,5.766666667,,,
3.033333333,,6.1,,,
,,5.5,,,
,,4.733333333,,,
,,5.9,,,
,,6.1,,,
,,6.166666667,,,
,,5.933333333,,,
,,4.233333333,,,
,,6.166666667,,,
,,4.966666667,,,
,,3.966666667,,,
